"zip_code","cbsa_1",cbsa_1_ratio,"cbsa_2",cbsa_2_ratio,"cbsa_3",cbsa_3_ratio,"cbsa_4",cbsa_4_ratio
"00751","17640",0.99864197,"42180",0.00135802,NULL,NULL,NULL,NULL
"00754","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00757","42180",0.99714571,"17640",0.00285431,NULL,NULL,NULL,NULL
"00765",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00766","38660",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00767","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00769","17620",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00771","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00772","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00773","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00775",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00777","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00778","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00780","38660",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00782","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00783","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00784","25020",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00785","25020",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00786","41980",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00791","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00792","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00794","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00795","38660",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00802",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00820",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00830",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00840",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00850",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00901","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00902","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00907","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00908","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00909","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00910","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00911","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00912","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00913","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00914","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00915","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00916","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00917","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00918","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00919","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00920","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00921","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00922","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00923","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00924","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00925","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00926","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00927","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00928","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00929","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00931","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00934","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
