Zip Code,Total Students,Cuban,Mexican,Puerto Rican,Other Hispanic or Latino,Non-Hispanic or Latino,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Other,I do not wish to respond – race,I do not wish to respond – ethnicity
06021 Total,15,0,0,0,0,14,0,0,0,0,15,0,0,0
06023 Total,10,0,0,0,1,7,0,0,0,0,10,0,0,2
06024 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
06026 Total,28,1,0,1,1,20,1,0,3,0,21,0,1,1
06027 Total,7,0,0,0,1,6,0,1,0,0,7,0,0,0
06029 Total,121,0,1,3,4,104,1,11,4,0,105,0,2,1
06030 Total,2,0,0,0,0,2,0,1,0,0,1,0,0,0
06031 Total,7,0,0,0,0,6,0,1,0,0,6,0,0,0
06032 Total,136,0,1,3,11,119,3,42,8,0,85,0,1,0
06033 Total,232,1,0,4,14,207,2,23,12,1,200,0,2,2
06035 Total,66,1,1,1,4,54,1,1,2,0,63,0,0,0
06037 Total,139,1,0,2,7,119,0,8,2,0,130,0,1,1
06039 Total,27,0,0,1,1,23,0,5,4,1,17,0,0,0
06040 Total,193,1,1,14,46,118,4,31,41,2,127,0,5,0
06042 Total,104,1,0,5,16,73,5,14,32,1,60,0,3,0
06043 Total,31,0,0,0,1,28,0,1,0,0,30,0,0,0
06051 Total,135,1,3,18,75,29,3,2,33,2,84,0,3,0
06052 Total,33,0,1,3,8,17,0,1,11,0,26,0,0,0
06053 Total,102,0,0,10,38,45,1,6,20,1,70,0,1,1
06057 Total,64,0,0,0,2,59,0,0,0,0,62,0,1,1
06058 Total,9,0,0,0,0,9,0,0,0,0,9,0,0,0
06060 Total,29,0,0,0,1,26,1,1,2,0,27,0,0,0
06061 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06062 Total,91,0,2,1,7,76,1,4,7,0,79,0,0,1
06063 Total,35,0,0,1,1,28,0,1,0,0,34,0,0,0
06065 Total,7,0,0,0,0,6,0,0,0,1,7,0,0,0
06066 Total,117,0,0,0,13,93,1,4,16,0,95,0,1,0
06067 Total,125,1,0,1,7,105,2,16,8,0,103,0,0,1
06068 Total,9,0,1,0,0,8,0,4,0,0,4,0,0,0
06069 Total,11,0,0,0,0,10,0,1,0,0,10,0,0,0
06070 Total,150,0,2,2,10,130,2,18,8,0,122,0,0,1
06071 Total,76,0,0,0,2,69,2,4,2,0,71,0,0,0
06072 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
06073 Total,42,0,0,1,0,40,0,3,0,0,37,0,1,1
06074 Total,215,2,0,2,22,176,3,21,16,1,179,0,0,2
06076 Total,55,0,0,0,4,44,0,3,2,1,52,0,0,0
06078 Total,93,0,1,1,1,85,1,10,3,1,77,0,0,1
06081 Total,11,0,0,0,3,7,0,0,2,0,9,0,0,0
06082 Total,215,1,0,6,21,163,2,9,18,0,196,0,0,0
06084 Total,123,1,0,0,3,112,0,3,7,1,114,0,0,0
06085 Total,54,0,0,0,5,46,1,17,3,1,35,0,0,1
06087 Total,1,0,0,1,0,0,0,0,0,0,1,0,0,0
06088 Total,8,0,0,0,0,8,0,1,2,0,7,0,0,0
06089 Total,25,0,0,0,0,25,1,4,1,0,21,0,0,0
06090 Total,5,0,0,0,0,5,0,0,0,0,5,0,0,0
06091 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
06092 Total,42,0,0,0,2,38,0,2,1,0,40,0,0,0
06093 Total,24,0,0,0,1,20,1,0,2,0,20,0,0,0
06095 Total,180,1,1,7,25,126,2,11,101,1,74,0,1,1
06096 Total,68,0,0,2,9,49,0,14,10,0,48,0,0,0
06098 Total,89,0,1,0,4,74,3,18,3,0,67,0,1,1
06100 Total,1,0,1,0,0,0,0,0,0,0,0,0,0,0
06101 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06103 Total,3,0,0,0,2,1,0,0,1,0,2,0,0,0
06105 Total,50,0,0,5,9,31,2,4,26,0,18,0,0,0
06106 Total,140,2,0,18,81,40,10,4,54,1,73,0,2,0
06107 Total,176,0,2,2,7,162,1,17,11,0,150,0,0,1
06108 Total,127,0,2,9,40,64,3,10,63,0,55,0,0,0
06109 Total,202,0,0,2,28,157,4,13,14,0,168,0,3,2
06110 Total,66,0,2,3,14,48,1,23,8,1,29,0,1,0
06111 Total,175,1,0,3,16,143,4,20,16,1,142,0,1,1
06112 Total,106,2,1,5,11,78,2,1,96,1,9,0,0,0
06114 Total,116,0,3,9,66,28,6,6,40,2,62,0,4,0
06117 Total,135,1,0,4,7,119,2,27,6,0,102,0,3,2
06118 Total,116,0,1,10,36,54,1,14,43,0,52,0,0,0
06119 Total,113,0,0,2,20,86,2,19,17,1,79,0,1,1
06120 Total,33,0,0,3,9,19,0,0,24,0,7,0,0,0
06127 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06133 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06231 Total,31,0,0,0,2,29,0,0,0,0,31,0,0,0
06232 Total,16,0,0,0,0,13,0,0,2,0,15,0,0,0
06237 Total,6,0,0,0,0,5,0,2,0,0,5,0,0,0
06238 Total,9,0,0,0,1,8,0,1,0,0,8,0,0,0
06241 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06248 Total,63,0,0,0,2,57,0,3,0,0,60,0,0,0
06249 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06280 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06300 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
06333 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06340 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
06357 Total,1,1,0,1,0,0,0,0,0,0,0,0,0,0
06360 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
06370 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
06374 Total,2,0,0,0,0,1,0,0,0,0,2,0,0,0
06377 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06378 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06385 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
06401 Total,14,0,0,2,5,8,0,1,3,0,10,0,0,0
06403 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06404 Total,1,0,0,0,0,1,1,0,0,0,1,0,0,0
06405 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06410 Total,4,0,0,0,0,4,0,1,0,0,3,0,0,0
06413 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06414 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06415 Total,6,0,0,0,0,5,0,0,0,0,6,0,0,0
06416 Total,5,0,0,1,0,4,0,1,2,0,2,0,0,0
06418 Total,8,0,0,1,0,7,0,1,0,0,6,0,0,0
06422 Total,4,0,0,0,0,3,0,0,0,0,4,0,0,0
06423 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06424 Total,9,0,0,0,2,6,2,1,2,0,7,0,0,0
06426 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06437 Total,3,0,1,0,0,1,0,0,0,0,2,0,1,1
06441 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06443 Total,4,0,0,0,0,3,0,0,0,0,4,0,0,0
06444 Total,4,0,0,0,0,3,0,0,1,0,4,0,0,0
06447 Total,55,0,0,0,3,50,0,4,1,0,52,0,0,0
06450 Total,14,0,0,1,4,8,1,0,5,0,8,0,0,1
06451 Total,7,0,0,1,0,6,0,1,2,0,4,0,0,0
06455 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06456 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06457 Total,20,1,0,0,5,12,1,2,5,0,12,0,0,0
06460 Total,16,0,0,0,2,12,0,0,1,0,14,0,1,1
06461 Total,12,1,0,2,1,9,0,3,0,0,8,0,1,0
06467 Total,2,0,0,0,0,1,0,0,0,0,2,0,0,0
06468 Total,160,3,0,3,7,141,2,14,8,0,148,0,0,0
06470 Total,154,1,1,1,8,137,2,14,2,0,140,0,3,1
06471 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06472 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06473 Total,4,0,0,1,0,3,0,0,1,0,4,0,0,0
06477 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
06478 Total,8,0,0,1,0,7,1,1,1,0,7,0,0,0
06479 Total,64,0,0,1,6,56,0,3,0,0,62,0,0,0
06480 Total,8,0,0,1,0,5,1,0,1,0,8,0,0,0
06482 Total,103,0,0,1,3,93,0,6,2,0,99,0,0,2
06483 Total,10,0,0,0,1,8,0,2,0,0,8,0,0,0
06484 Total,57,0,0,5,2,46,3,3,1,0,48,0,2,2
06488 Total,132,1,1,1,9,110,1,10,6,2,114,0,4,3
06489 Total,214,0,1,7,4,187,2,12,6,0,199,0,2,1
06492 Total,4,0,0,1,0,2,0,0,0,0,3,0,1,1
06511 Total,2,1,1,1,0,0,1,0,0,0,2,0,0,0
06514 Total,2,0,0,0,0,2,0,0,1,0,1,0,0,0
06515 Total,2,0,0,0,0,2,0,0,1,0,1,0,0,0
06516 Total,4,0,0,1,1,2,0,0,1,0,2,0,0,0
06517 Total,2,0,0,0,0,1,0,0,1,0,2,0,0,0
06518 Total,4,0,0,0,1,3,0,1,1,0,2,0,0,0
06524 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06525 Total,3,0,0,0,0,2,0,0,0,0,3,0,0,0
06604 Total,101,0,9,4,26,54,7,18,43,1,32,0,2,0
06605 Total,82,0,9,9,30,30,3,3,29,0,33,0,4,0
06606 Total,213,2,12,11,77,102,9,14,96,2,76,0,6,3
06607 Total,22,0,1,1,5,14,0,0,16,1,5,0,1,0
06608 Total,50,0,1,7,24,15,2,1,16,0,29,0,2,1
06610 Total,91,2,5,11,38,33,1,3,45,1,38,0,2,1
06611 Total,376,0,0,6,28,321,0,51,21,0,298,0,9,6
06612 Total,71,1,1,1,3,62,1,4,1,0,65,0,2,1
06614 Total,225,2,1,10,42,150,5,11,40,4,162,0,3,1
06615 Total,102,2,2,7,27,57,4,6,35,3,59,0,2,1
06701 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
06702 Total,7,0,0,0,6,1,1,0,3,0,4,0,0,0
06704 Total,120,0,3,14,48,43,5,8,42,2,62,0,4,0
06705 Total,136,2,1,15,34,59,4,6,48,2,81,0,2,0
06706 Total,55,1,2,4,21,22,1,3,16,0,36,0,1,0
06708 Total,159,0,1,10,38,94,4,15,39,2,96,0,3,1
06710 Total,33,0,1,4,10,9,3,3,17,0,10,0,1,0
06712 Total,14,0,0,1,0,10,0,1,1,0,13,0,0,0
06716 Total,114,0,0,2,3,100,1,3,2,0,110,0,0,0
06722 Total,1,0,0,0,0,1,0,0,1,0,1,0,0,0
06750 Total,6,0,0,0,1,5,0,1,1,0,6,0,0,0
06751 Total,20,0,0,1,0,17,0,0,0,0,20,0,0,1
06752 Total,10,0,0,0,1,7,0,0,0,0,10,0,0,0
06753 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06754 Total,16,0,0,0,0,15,0,0,1,0,15,0,0,0
06755 Total,2,0,0,0,0,2,1,0,0,0,1,0,0,0
06756 Total,13,0,0,0,0,12,0,0,0,0,12,0,0,0
06757 Total,41,0,0,1,1,38,0,29,1,0,9,0,1,0
06758 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06759 Total,76,1,0,0,4,61,0,4,4,0,68,0,2,8
06762 Total,76,0,1,3,8,61,1,5,4,1,60,0,1,1
06763 Total,15,0,0,0,0,14,0,0,1,0,14,0,0,0
06770 Total,188,0,0,2,40,127,7,9,26,1,158,0,3,1
06776 Total,198,0,2,4,16,165,1,12,6,0,180,0,1,0
06777 Total,9,0,0,0,0,9,0,0,0,0,9,0,0,0
06778 Total,8,0,0,0,0,8,0,0,0,0,8,0,0,0
06779 Total,51,1,0,2,4,43,1,3,1,0,47,0,0,0
06782 Total,16,0,0,1,2,12,0,1,0,0,15,0,0,0
06783 Total,10,0,0,0,0,10,0,0,0,0,10,0,0,0
06784 Total,28,0,0,0,1,27,0,0,0,0,27,0,0,0
06785 Total,13,0,0,0,1,12,0,5,0,1,6,0,0,0
06786 Total,65,0,1,2,6,49,1,3,4,0,57,0,0,0
06787 Total,66,0,0,1,1,59,1,3,4,0,61,0,0,0
06790 Total,176,1,2,1,23,128,0,6,13,0,160,0,0,1
06791 Total,38,0,0,1,1,32,0,0,0,0,37,0,0,0
06793 Total,8,0,0,0,0,8,0,2,0,0,6,0,0,0
06794 Total,5,0,0,0,1,3,0,0,0,0,5,0,0,0
06795 Total,120,0,0,2,4,106,2,8,5,0,104,0,1,1
06796 Total,4,0,0,0,0,3,0,0,1,0,4,0,0,0
06798 Total,76,0,2,1,4,65,1,5,2,0,70,0,0,1
06801 Total,157,0,0,4,23,124,4,18,5,1,131,0,2,2
06804 Total,136,0,0,5,16,110,0,10,2,1,125,0,0,0
06807 Total,46,0,0,0,7,38,1,4,3,0,37,0,0,0
06810 Total,269,0,2,2,142,103,4,27,33,1,194,0,12,2
06811 Total,168,0,3,4,31,118,1,25,15,0,131,0,2,0
06812 Total,125,0,1,5,6,102,2,8,4,1,114,0,0,0
06813 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06820 Total,147,1,1,0,11,129,0,8,3,0,135,0,1,0
06824 Total,282,1,4,0,17,253,3,18,2,0,258,0,3,2
06825 Total,215,0,3,3,26,172,2,25,10,4,182,0,3,2
06830 Total,107,0,5,3,24,76,2,9,5,1,93,0,3,0
06831 Total,47,3,0,0,2,41,0,7,1,0,39,0,1,0
06840 Total,147,0,2,1,10,125,1,10,3,1,134,0,3,3
06850 Total,91,0,4,1,35,47,0,7,19,0,54,0,2,1
06851 Total,166,1,3,4,40,107,3,16,22,0,127,0,2,1
06853 Total,17,1,0,0,3,13,1,1,1,0,15,0,0,0
06854 Total,150,0,10,6,73,61,2,4,40,0,94,0,4,0
06855 Total,40,0,6,0,17,19,1,3,5,0,26,0,0,0
06870 Total,43,0,1,1,3,38,0,2,0,0,38,0,1,0
06876 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
06877 Total,230,2,0,1,14,201,1,11,6,0,217,0,1,2
06878 Total,43,0,0,1,11,30,1,2,0,1,40,0,0,0
06880 Total,209,3,7,4,11,172,5,25,10,3,177,0,2,3
06883 Total,82,0,1,2,4,69,2,8,5,0,70,0,1,2
06890 Total,31,0,0,0,2,29,0,0,1,0,30,0,0,0
06896 Total,81,0,1,1,6,68,1,5,2,0,78,0,1,2
06897 Total,192,0,1,2,10,169,0,21,7,0,165,0,3,2
06901 Total,15,0,0,1,2,10,0,2,6,0,5,0,1,0
06902 Total,246,2,5,4,81,142,4,19,69,2,146,0,5,0
06903 Total,95,2,4,2,6,79,1,10,2,1,84,0,2,2
06905 Total,119,2,1,3,19,92,3,18,10,0,89,0,3,1
06906 Total,40,0,0,2,11,23,0,4,10,0,24,0,0,0
06907 Total,47,1,0,1,6,39,0,1,5,0,41,0,0,0
07005 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
07020 Total,1,0,0,0,0,1,0,1,0,0,1,0,0,0
07036 Total,1,0,0,0,0,0,0,0,1,0,1,0,0,0
07040 Total,1,0,0,0,0,1,0,0,1,0,1,0,0,0
07042 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
07043 Total,1,0,0,0,1,0,0,0,0,0,0,0,1,0
07093 Total,2,0,0,0,1,1,0,1,1,0,1,0,1,0
07107 Total,2,0,0,1,0,1,0,0,2,0,1,0,0,0
07110 Total,1,0,0,0,0,1,0,0,0,0,0,0,0,0
07114 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
07204 Total,1,0,0,0,1,0,0,0,1,0,0,0,0,0
07205 Total,1,0,0,0,0,1,0,1,1,0,0,0,0,0
07417 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
07450 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
07640 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
07641 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
07657 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
07661 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
07666 Total,2,0,1,0,0,1,0,1,2,0,1,0,0,0
07716 Total,1,0,0,0,1,0,1,0,0,0,1,0,0,0
07746 Total,2,0,0,0,2,0,0,0,1,0,1,0,0,0
07760 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
07901 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
07931 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
07935 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
07940 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
07960 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
08205 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
08270 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
08520 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
08525 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
08540 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
08619 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
08822 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
08904 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
09468 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
09852 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
10001 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10004 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
10007 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
10011 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10017 Total,1,0,0,0,0,0,0,1,0,0,0,0,0,1
10019 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10021 Total,2,1,0,0,2,0,0,0,0,0,2,0,0,0
10022 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
10023 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10025 Total,2,0,0,0,0,2,0,1,0,0,2,0,0,0
10027 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10028 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10033 Total,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10069 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1010 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10128 Total,3,0,0,0,1,2,0,0,0,0,2,0,0,0
10309 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10452 Total,1,0,0,0,1,0,0,0,1,0,0,0,0,0
10457 Total,2,0,1,1,0,0,0,0,1,0,0,0,0,0
10458 Total,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10461 Total,2,0,0,1,0,1,1,0,1,0,2,0,0,0
10463 Total,1,0,0,0,1,0,0,0,1,0,0,0,0,0
10466 Total,2,0,0,0,0,2,0,0,2,0,0,0,0,0
10468 Total,1,0,0,1,1,0,0,0,1,0,0,0,0,0
10469 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10473 Total,2,0,0,0,0,2,0,1,1,0,0,0,0,0
10475 Total,1,0,0,0,0,1,0,0,1,0,1,0,0,0
10504 Total,1,1,0,0,1,0,0,0,0,0,1,0,0,0
10506 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10509 Total,2,0,0,0,0,1,0,0,0,0,2,0,0,0
10510 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
10512 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10518 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
10522 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
10526 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10528 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
10536 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
10538 Total,1,0,0,0,0,1,0,0,0,1,1,0,0,0
10541 Total,3,0,0,0,1,1,0,0,0,0,3,0,0,1
10543 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
10549 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
10553 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
10560 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10570 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10573 Total,4,0,0,0,1,3,0,1,0,0,2,0,0,0
10577 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10580 Total,5,0,0,0,0,5,0,0,0,0,5,0,0,0
10589 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10590 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10594 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10597 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
10598 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10701 Total,2,0,0,1,0,1,0,0,2,0,0,0,0,0
10706 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10708 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10710 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10801 Total,2,0,0,0,0,2,0,0,1,0,1,0,0,0
10804 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
10805 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
11050 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
11120 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
11206 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
11207 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
11212 Total,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11217 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
11218 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
11231 Total,1,0,0,0,0,1,0,0,1,0,1,0,0,0
11233 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
11236 Total,2,0,0,0,0,2,0,0,2,0,0,0,0,0
11237 Total,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11362 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
11373 Total,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11412 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
11413 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
11416 Total,1,0,0,1,1,0,0,0,0,0,0,0,1,0
11422 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
11432 Total,1,0,0,0,1,0,0,0,0,0,0,0,1,0
11434 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
11436 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
11510 Total,2,0,0,0,0,2,0,0,1,0,1,0,0,0
11560 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
11569 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
11720 Total,1,0,0,0,0,1,1,0,0,0,1,0,0,0
11771 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
11949 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
11952 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
12020 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
12047 Total,2,0,0,0,0,2,0,0,2,0,0,0,0,0
12057 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
12150 Total,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12545 Total,1,0,0,0,0,0,0,0,0,0,0,0,1,1
12546 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
12550 Total,2,0,1,0,0,1,1,0,0,0,1,0,0,0
12563 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
12571 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
12603 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
12816 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
12819 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
12884 Total,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12887 Total,11,0,1,0,0,10,0,0,0,0,10,0,0,0
13335 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
14031 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
14512 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
14618 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
14830 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
15220 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
15658 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
168-0 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
16875 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
17837 Total,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18301 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
18323 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
18938 Total,1,0,0,0,0,0,0,0,1,0,1,0,0,1
19035 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
19038 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
19041 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
19096 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
19320 Total,1,0,0,0,0,0,0,0,0,0,0,0,1,1
19380 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
19464 Total,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19526 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
19709 Total,1,0,0,0,0,1,0,0,1,0,1,0,0,0
19970 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
20000 Total,1,0,0,0,0,0,0,1,0,0,0,0,0,1
20007 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
20015 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
20016 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
20018 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
20151 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
20165 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
20190 Total,5,0,0,0,2,2,0,0,0,0,4,0,1,0
20814 Total,1,0,0,0,0,1,0,0,0,1,0,0,0,0
20815 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
21042 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
21212 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
21222 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
21500 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
21771 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
22044 Total,1,0,0,0,0,1,0,1,0,0,1,0,0,0
22066 Total,2,0,0,0,0,2,0,1,0,0,1,0,0,0
22182 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
22304 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
22793 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
23059 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
23320 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
24017 Total,1,0,0,1,0,0,1,0,1,0,0,0,0,0
24503 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
26025 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
27502 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
27516 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
27519 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
