Zip Code,Total Students,Cuban,Mexican,Puerto Rican,Other Hispanic or Latino,Non-Hispanic or Latino,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Other,I do not wish to respond – race,I do not wish to respond – ethnicity
03063 Total,81,0,1,2,4,71,2,9,4,0,67,0,0,2
03064 Total,87,0,3,3,10,69,3,7,7,1,70,0,0,5
03070 Total,46,0,1,0,1,43,0,1,2,0,44,0,0,0
03071 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
03076 Total,85,0,0,1,1,79,0,0,1,0,81,0,1,4
03077 Total,41,0,0,0,3,33,1,0,1,0,36,0,1,3
03079 Total,146,0,0,6,10,121,4,7,5,0,124,0,1,7
03086 Total,5,0,0,0,0,4,0,2,0,0,3,0,1,1
03087 Total,117,0,2,0,3,105,0,9,1,1,100,0,3,4
03101 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
03102 Total,87,1,3,4,3,72,4,5,11,0,70,0,0,0
03103 Total,122,0,6,8,14,91,4,16,10,0,85,0,0,3
03104 Total,105,0,5,1,4,85,2,8,9,0,82,0,0,3
03106 Total,80,0,0,0,1,72,2,4,2,0,68,0,2,5
03108 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
03109 Total,56,0,1,2,3,48,2,6,1,1,45,0,0,2
03110 Total,220,1,0,6,4,199,2,18,5,1,197,0,2,6
03216 Total,5,0,0,0,1,5,0,0,0,0,5,0,0,0
03220 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
03224 Total,2,0,1,0,0,1,0,0,0,0,2,0,0,0
03229 Total,35,0,0,0,0,33,1,0,0,0,33,0,0,1
03234 Total,23,0,0,0,0,21,1,1,1,0,21,0,1,1
03235 Total,1,0,0,1,0,0,0,0,0,0,0,0,0,0
03242 Total,26,0,0,0,0,24,1,0,1,0,25,0,0,1
03244 Total,2,0,0,0,0,2,0,1,0,0,1,0,0,0
03246 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
03249 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
03254 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
03255 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
03256 Total,1,0,0,0,0,0,0,0,0,0,0,0,1,0
03258 Total,9,0,0,0,0,8,1,0,0,0,8,0,0,1
03261 Total,24,0,0,1,0,21,0,0,0,0,22,0,0,2
03263 Total,2,0,0,0,1,1,0,0,0,0,2,0,0,0
03268 Total,5,0,0,0,0,4,0,0,0,0,5,0,0,0
03269 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
03275 Total,38,0,0,0,1,35,0,1,2,0,35,0,0,2
03276 Total,2,0,0,0,0,2,1,0,0,0,2,0,0,0
03278 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
03280 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
03281 Total,76,0,0,0,0,74,1,2,1,0,75,0,0,0
03287 Total,2,0,0,0,0,2,0,2,0,0,0,0,0,0
03290 Total,29,0,0,1,0,28,1,1,0,0,28,0,0,0
03301 Total,178,1,1,3,4,162,2,26,9,0,142,0,2,4
03302 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
03303 Total,77,0,0,1,3,66,6,8,3,1,58,0,0,4
03304 Total,74,0,1,0,2,68,1,2,1,0,69,0,0,2
03307 Total,37,0,0,2,2,25,3,1,0,0,28,0,0,7
03431 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
03458 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
03580 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
03608 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
03741 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
03743 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
03745 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
03801 Total,101,0,3,1,6,89,3,7,6,0,89,0,0,1
03802 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
03804 Total,2,0,0,0,0,2,0,0,0,1,1,0,0,0
03811 Total,22,0,0,0,0,21,0,0,0,0,22,0,0,0
03819 Total,27,0,1,2,0,23,0,0,0,0,26,0,0,0
03820 Total,138,2,0,1,2,126,3,18,8,1,113,0,1,6
03823 Total,13,0,0,0,0,13,0,1,0,0,12,0,0,0
03824 Total,49,0,0,0,0,46,1,1,0,0,45,0,0,2
03825 Total,50,0,0,0,1,46,0,2,0,0,48,0,0,2
03826 Total,9,0,0,0,0,9,0,0,1,0,8,0,0,0
03827 Total,20,0,0,0,0,19,0,1,0,0,18,0,1,0
03833 Total,165,1,0,1,4,145,1,14,4,1,139,0,6,7
03835 Total,5,0,0,0,0,4,0,1,0,0,3,0,0,1
03837 Total,1,0,0,0,1,0,1,0,0,0,0,0,0,0
03839 Total,1,0,0,0,1,0,0,0,0,0,0,0,1,0
03840 Total,26,1,1,0,0,24,1,0,1,0,26,0,0,0
03841 Total,29,0,0,0,1,26,0,1,0,1,29,0,0,1
03842 Total,73,0,0,0,2,67,4,1,1,1,65,0,0,2
03843 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
03844 Total,15,0,0,0,0,14,0,1,0,0,13,0,0,1
03848 Total,35,0,1,1,1,30,0,0,1,0,33,0,0,1
03851 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
03854 Total,5,0,0,0,0,5,0,0,0,0,5,0,0,0
03855 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
03856 Total,14,2,0,0,1,12,0,0,0,0,14,0,0,0
03857 Total,8,0,0,1,0,7,0,2,0,0,6,0,0,0
03858 Total,27,1,0,0,1,25,3,1,0,0,27,0,0,0
03861 Total,25,0,0,1,1,23,0,0,0,0,24,0,0,0
03862 Total,26,0,0,0,1,21,0,2,1,0,21,0,0,2
03864 Total,1,0,0,0,0,0,0,0,0,0,1,0,0,0
03865 Total,20,0,0,1,1,18,0,0,0,0,19,0,0,1
03867 Total,10,0,0,1,0,9,1,3,1,0,5,0,1,0
03868 Total,2,0,0,0,0,1,0,1,0,0,0,0,0,1
03869 Total,22,0,0,0,0,19,1,0,0,0,19,0,0,2
03870 Total,26,0,1,0,1,24,0,0,0,0,25,0,1,0
03871 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
03873 Total,26,0,0,0,0,25,0,0,0,0,25,0,0,1
03874 Total,27,0,0,2,0,24,0,0,1,0,26,0,0,1
03878 Total,61,0,0,2,3,50,0,9,4,0,47,0,0,6
03884 Total,14,0,0,0,0,13,0,0,0,0,13,0,0,1
03885 Total,65,0,0,0,1,60,1,4,2,0,55,0,2,3
03894 Total,1,0,0,0,0,0,0,0,0,0,1,0,0,0
03901 Total,43,0,0,0,0,40,0,0,0,0,39,0,1,3
03902 Total,13,0,0,0,0,13,0,0,0,0,13,0,0,0
03903 Total,45,0,0,0,1,42,0,3,1,0,41,0,1,2
03904 Total,25,0,0,0,1,23,0,4,1,1,22,0,0,0
03905 Total,6,0,0,0,0,6,0,0,0,0,6,0,0,0
03906 Total,16,0,0,0,0,15,0,0,0,0,16,0,0,0
03907 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
03908 Total,79,0,0,0,1,73,3,1,0,0,74,0,0,2
03909 Total,66,0,0,0,0,62,0,4,0,1,61,0,1,3
03910 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
04001 Total,6,0,0,0,1,5,0,0,0,0,5,0,0,0
04002 Total,8,0,0,0,0,8,0,1,0,0,8,0,0,0
04004 Total,1,0,0,0,0,1,1,0,1,0,0,0,0,0
04005 Total,82,0,0,1,1,73,1,7,3,0,68,0,1,6
04009 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
04011 Total,88,0,2,1,4,77,2,6,0,0,78,0,0,3
04015 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
04017 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
04020 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
04021 Total,80,1,0,1,2,75,0,1,2,0,77,0,0,1
04027 Total,28,0,0,0,0,28,2,1,0,0,26,0,0,0
04029 Total,1,0,0,0,0,0,0,0,0,0,1,0,0,0
04030 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
04032 Total,51,0,0,0,1,45,0,2,0,0,44,0,0,5
04038 Total,118,0,0,0,0,110,2,7,4,0,108,0,1,4
04039 Total,44,0,0,1,2,38,1,1,1,0,39,0,0,4
04042 Total,15,0,0,0,0,15,0,0,0,0,14,0,0,0
04043 Total,57,0,2,0,1,51,2,7,1,1,52,0,2,2
04046 Total,22,0,0,0,1,18,1,0,1,0,17,0,1,2
04048 Total,10,0,0,0,0,8,0,0,0,0,8,0,0,2
04049 Total,14,0,1,0,0,13,2,0,1,0,13,0,0,0
04050 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
04054 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
04061 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
04062 Total,83,0,0,1,1,75,2,5,4,0,68,0,1,5
04064 Total,28,0,0,0,0,26,2,1,0,0,24,0,0,1
04069 Total,12,0,0,0,0,11,0,0,0,0,12,0,0,0
04070 Total,4,0,1,0,0,3,0,0,0,0,4,0,0,0
04071 Total,21,0,1,0,1,18,0,1,0,0,18,0,0,1
04072 Total,57,0,1,0,2,52,1,16,2,0,40,0,1,1
04073 Total,89,0,0,0,3,78,2,6,3,0,78,0,0,1
04074 Total,176,1,1,0,2,166,4,16,6,1,151,0,3,3
04076 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
04079 Total,3,0,0,0,0,2,0,0,0,0,2,0,0,1
04083 Total,20,0,0,0,0,18,2,1,0,0,17,0,0,1
04084 Total,42,2,2,1,0,35,1,4,5,1,36,0,0,0
04085 Total,9,0,0,0,0,8,1,1,0,0,8,0,0,0
04086 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
04087 Total,3,0,0,0,0,2,0,0,0,0,2,0,0,1
04090 Total,23,0,0,0,1,22,2,0,2,0,21,0,0,0
04091 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
04092 Total,86,0,1,0,3,75,2,3,11,1,67,0,0,4
04093 Total,53,0,0,0,0,50,4,4,1,0,48,0,0,1
04096 Total,83,0,1,1,1,77,0,2,4,0,77,0,0,2
04097 Total,43,0,1,0,1,39,0,0,0,0,40,0,0,2
04101 Total,37,0,1,0,2,31,1,2,12,1,22,0,0,2
04102 Total,101,0,0,0,2,94,2,15,7,0,77,0,0,4
04103 Total,148,0,0,0,3,140,6,16,27,1,102,0,1,2
04105 Total,79,0,1,0,1,75,1,4,1,0,71,0,1,2
04106 Total,41,0,0,1,3,34,1,3,4,1,32,0,1,2
04107 Total,80,1,0,0,0,75,1,6,0,1,74,0,0,2
04108 Total,3,0,0,0,2,1,0,0,0,0,3,0,0,0
04110 Total,12,0,0,0,2,10,0,0,0,0,10,0,0,0
04210 Total,4,0,0,0,0,4,0,0,1,0,3,0,0,0
04222 Total,14,0,0,0,0,14,0,0,0,0,14,0,0,0
04240 Total,2,0,0,0,0,2,1,0,0,0,2,0,0,0
