High School Code,Total Students,Cuban,Mexican,Puerto Rican,Other Hispanic or Latino,Non-Hispanic or Latino,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Other,I do not wish to respond – race,I do not wish to respond – ethnicity
070311 Total,10,0,0,0,3,6,0,0,7,0,3,0,0,0
070312 Total,16,0,0,1,4,10,0,0,12,0,5,0,0,0
070313 Total,8,0,0,1,1,4,0,0,6,0,2,0,0,0
070315 Total,4,0,0,0,2,1,0,0,2,0,2,0,0,0
070320 Total,24,0,2,4,1,16,1,9,3,0,11,0,0,1
070323 Total,146,0,0,0,5,133,0,6,3,0,139,0,0,0
070326 Total,43,0,1,2,7,32,1,5,23,1,20,0,0,0
070330 Total,55,0,0,0,2,49,0,29,2,0,22,0,2,2
070335 Total,50,0,1,2,3,44,0,6,11,1,31,0,0,0
070350 Total,40,1,0,0,2,29,0,4,2,0,33,0,2,8
070355 Total,41,0,0,0,2,38,0,0,2,0,40,0,0,0
070360 Total,49,0,1,0,1,43,0,0,2,0,46,0,0,0
070365 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
070371 Total,9,0,0,1,0,7,0,0,1,0,7,0,1,0
070372 Total,39,0,1,4,16,19,0,0,14,0,20,0,5,0
070373 Total,110,1,0,3,7,100,3,18,6,0,85,0,1,0
070375 Total,47,0,0,0,16,25,1,2,8,0,40,0,0,0
070380 Total,189,1,1,12,39,117,8,25,52,3,121,0,2,0
070395 Total,21,0,2,2,2,15,1,2,2,0,14,0,0,0
070402 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
070414 Total,45,0,0,2,11,27,0,6,12,0,24,0,1,0
070421 Total,2,0,0,0,0,1,0,0,0,0,2,0,0,1
070423 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
070434 Total,56,0,0,0,16,21,2,0,13,0,46,0,0,0
070435 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
070440 Total,147,0,0,2,34,97,7,5,19,1,129,0,1,0
070445 Total,58,0,0,1,38,16,1,0,4,0,52,0,0,0
070455 Total,158,0,4,14,69,57,3,6,42,2,104,0,2,0
070460 Total,18,0,0,0,0,18,0,2,3,0,15,0,0,0
070465 Total,141,0,2,1,11,119,2,9,3,1,129,0,2,2
070471 Total,36,0,1,0,9,22,1,6,9,0,22,0,0,0
070476 Total,122,0,1,5,6,99,2,6,4,1,113,0,0,0
070522 Total,4,0,0,1,0,3,0,0,1,0,2,0,0,0
070525 Total,173,2,0,3,18,139,4,20,18,1,139,0,0,1
070540 Total,24,0,1,0,4,18,0,5,1,0,19,0,0,0
070545 Total,191,0,2,4,12,165,2,7,4,0,179,0,0,0
070550 Total,234,0,2,1,11,207,2,13,4,0,221,0,2,2
070580 Total,202,0,12,4,72,103,3,12,31,0,144,0,3,1
070589 Total,6,0,0,0,0,6,0,0,0,0,6,0,0,0
070610 Total,90,0,2,2,7,73,2,3,11,0,74,0,0,1
070615 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
070638 Total,137,0,2,0,7,119,2,8,3,0,129,0,3,3
070640 Total,205,1,0,1,13,178,1,9,6,0,194,0,1,2
070643 Total,108,0,1,3,3,94,0,11,4,0,94,0,1,0
070645 Total,90,0,0,0,7,73,1,4,9,0,75,0,1,0
070648 Total,114,1,0,1,11,91,1,14,6,0,94,0,0,1
