High School Code,Total Students,Cuban,Mexican,Puerto Rican,Other Hispanic or Latino,Non-Hispanic or Latino,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Other,I do not wish to respond – race,I do not wish to respond – ethnicity
220614 Total,24,0,0,12,1,10,3,1,9,1,11,0,2,2
220630 Total,10,0,0,1,2,7,0,1,1,0,5,0,0,0
220635 Total,5,0,0,0,0,5,0,0,0,0,5,0,0,0
220640 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
220645 Total,13,0,0,0,0,13,0,3,2,0,8,0,0,0
220650 Total,2,0,0,0,0,2,0,1,0,0,1,0,0,0
220655 Total,83,0,1,0,1,77,3,2,3,0,79,0,0,1
220660 Total,36,0,0,0,2,33,0,2,1,0,32,0,1,1
220664 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
220665 Total,32,1,2,1,0,29,1,0,1,0,28,0,1,0
220667 Total,9,0,0,0,0,9,0,2,1,0,8,0,0,0
220668 Total,11,0,0,1,1,9,1,1,0,1,11,0,0,0
220675 Total,13,0,0,0,0,13,0,1,1,0,11,0,0,0
220680 Total,10,0,0,0,0,9,1,1,5,0,4,0,1,1
220683 Total,6,0,0,0,0,6,1,1,0,0,5,0,0,0
220685 Total,18,0,0,1,0,15,1,7,2,0,9,0,2,2
220686 Total,2,0,0,0,0,2,1,0,1,0,0,0,0,0
220689 Total,13,0,0,0,0,13,0,1,0,0,12,0,0,0
220694 Total,5,0,0,0,1,4,0,0,4,0,0,0,1,0
220695 Total,10,0,0,0,0,10,0,1,0,0,9,0,0,0
220696 Total,3,0,0,0,0,2,0,1,2,0,0,0,0,0
220698 Total,30,0,0,4,0,24,0,0,0,0,28,0,0,2
220699 Total,3,0,0,0,0,3,0,0,3,0,0,0,0,0
220700 Total,13,0,0,0,1,12,0,1,0,0,13,0,0,0
220705 Total,14,0,0,1,0,12,0,0,0,0,13,0,1,0
220715 Total,14,0,0,0,1,13,0,0,0,0,14,0,0,0
220720 Total,47,0,0,5,2,40,1,0,3,0,44,0,1,0
220722 Total,42,0,1,0,0,38,0,1,1,0,42,0,0,1
220725 Total,33,1,1,0,0,31,0,12,2,0,21,0,0,0
220727 Total,104,0,0,4,3,95,2,11,10,0,82,0,0,0
220730 Total,67,1,0,0,0,64,1,18,6,1,44,0,1,2
220745 Total,62,0,1,1,1,57,0,3,4,0,53,0,3,2
220758 Total,27,0,1,0,11,15,0,3,6,0,15,0,1,0
220764 Total,5,0,0,0,1,4,0,0,3,0,2,0,0,0
220765 Total,15,0,0,2,4,11,0,8,0,0,4,0,1,0
220767 Total,4,0,1,0,1,3,0,1,1,0,2,0,0,0
220770 Total,13,0,0,0,1,12,0,0,0,0,13,0,0,0
220783 Total,10,0,0,0,0,10,0,4,0,0,6,0,0,0
220785 Total,30,0,0,1,1,23,0,2,1,0,24,0,0,5
220795 Total,17,0,0,0,0,16,0,0,0,0,16,0,1,1
220811 Total,4,0,0,0,0,4,1,0,1,0,4,0,0,0
220812 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
220815 Total,18,0,0,0,2,16,1,0,0,0,17,0,0,0
220820 Total,9,0,1,3,1,4,0,1,1,0,7,0,0,0
220829 Total,22,0,0,3,1,18,2,0,2,1,19,0,0,0
220830 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
220831 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
220835 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
220840 Total,19,0,0,0,0,19,0,0,1,0,18,0,0,0
220841 Total,4,0,0,1,1,2,0,0,1,0,2,0,1,1
220842 Total,38,1,1,0,8,24,0,7,3,0,21,0,2,5
220848 Total,8,0,0,0,0,8,0,3,1,0,4,0,0,0
220854 Total,12,0,0,1,3,8,0,0,0,0,8,0,2,1
220860 Total,37,0,0,0,3,34,0,3,1,0,33,0,0,0
220864 Total,10,0,0,0,2,8,0,1,1,0,7,0,1,0
220865 Total,8,0,0,1,1,6,1,1,1,0,6,0,0,0
220870 Total,6,0,0,0,0,6,0,0,1,0,5,0,0,0
220878 Total,25,0,0,0,1,23,1,0,1,0,22,0,1,1
220895 Total,27,0,0,0,0,25,0,3,1,0,23,0,1,1
220897 Total,24,0,0,0,1,23,0,3,0,1,21,0,1,0
220899 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
220901 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
220904 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
220910 Total,56,0,1,1,2,50,3,2,2,1,53,0,0,2
220912 Total,1,0,0,0,0,1,0,0,1,0,1,0,0,0
220920 Total,33,0,0,3,0,29,0,3,1,0,28,0,1,1
220921 Total,22,0,1,1,1,19,2,0,1,0,21,0,0,0
220925 Total,12,0,0,0,2,8,0,4,1,0,5,0,2,2
220928 Total,37,0,0,0,3,34,0,3,0,0,35,0,0,0
220940 Total,8,0,0,0,1,6,0,5,0,0,3,0,0,1
220942 Total,5,0,0,0,0,4,0,0,0,0,5,0,0,0
220945 Total,26,0,0,0,0,25,0,1,2,0,24,0,0,0
220947 Total,39,0,0,4,0,31,4,2,10,1,26,0,2,1
220950 Total,14,0,0,0,1,11,0,1,0,0,13,0,1,1
220953 Total,7,0,0,0,1,6,0,0,0,0,6,0,1,0
220955 Total,9,0,0,0,2,7,0,2,0,0,7,0,0,0
220964 Total,11,1,0,0,1,9,0,1,1,0,9,0,0,0
220965 Total,14,0,0,0,0,13,0,0,3,0,12,0,0,1
220970 Total,12,0,0,0,1,11,1,2,1,0,12,0,0,0
220980 Total,47,1,0,3,6,36,1,2,3,0,37,0,5,0
220985 Total,38,1,0,2,4,28,2,5,4,0,28,0,2,1
220998 Total,15,0,0,0,2,12,0,2,2,0,12,0,0,0
221000 Total,25,0,0,0,0,24,1,1,0,1,25,0,0,1
221002 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
221005 Total,5,0,0,0,0,4,0,1,0,0,3,0,1,1
221010 Total,100,0,1,1,3,94,2,6,1,0,93,0,0,1
221015 Total,17,1,0,0,1,15,0,1,0,0,16,0,0,0
221018 Total,62,0,1,30,5,26,1,1,5,2,32,0,1,1
221020 Total,3,0,0,1,0,2,0,0,2,0,1,0,0,0
221046 Total,11,0,1,7,1,3,0,0,1,0,3,0,4,1
221055 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
221060 Total,21,0,0,0,1,20,0,2,1,0,18,0,0,0
221065 Total,9,0,0,0,2,7,0,1,0,0,7,0,0,0
221072 Total,11,0,0,0,1,10,0,0,0,0,11,0,0,0
221073 Total,4,0,0,0,1,3,0,0,4,0,0,0,0,0
221074 Total,7,0,0,0,0,7,1,0,6,0,2,0,0,0
221075 Total,21,0,0,0,1,20,0,0,0,0,20,0,0,0
221079 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
221080 Total,37,0,1,1,4,30,0,1,3,0,33,0,0,1
221082 Total,8,0,0,0,0,7,0,0,0,0,7,0,1,1
221089 Total,5,0,0,0,0,5,0,3,0,0,2,0,0,0
221091 Total,10,0,0,0,1,9,0,1,0,0,9,0,0,0
221092 Total,3,0,0,0,0,3,0,0,1,0,2,0,0,0
221094 Total,13,0,0,1,1,11,0,0,11,1,1,0,0,0
221095 Total,10,0,0,0,1,9,0,1,0,0,10,0,0,0
221103 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
221105 Total,17,0,0,0,1,15,0,0,1,0,15,0,1,1
221106 Total,6,0,0,0,4,2,0,0,4,0,0,0,0,0
221107 Total,18,0,1,0,1,15,1,0,0,0,17,0,0,1
221109 Total,4,0,0,0,4,0,0,0,4,0,0,0,0,0
221111 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
221112 Total,5,0,0,1,1,3,0,0,5,0,0,0,0,0
221115 Total,13,0,0,1,3,10,0,0,2,0,10,0,0,0
221120 Total,45,0,0,12,35,3,2,1,19,0,6,0,9,1
221122 Total,8,0,0,2,5,1,0,0,6,0,2,0,1,0
221145 Total,25,0,1,0,1,23,2,3,2,1,22,0,0,0
221150 Total,13,0,0,0,0,13,0,3,0,0,11,0,0,0
221165 Total,35,0,1,1,4,28,2,1,1,0,28,0,0,1
221178 Total,28,0,0,4,1,23,1,1,6,0,21,0,0,0
221180 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
221189 Total,3,0,0,0,0,2,0,0,0,0,2,0,1,1
221190 Total,42,0,1,1,0,40,0,19,3,0,19,0,0,0
221191 Total,5,0,1,0,2,3,0,0,0,0,3,0,1,0
221195 Total,5,0,0,0,0,5,1,2,0,0,3,0,0,0
221198 Total,125,0,2,5,4,112,1,12,7,0,106,0,3,5
221200 Total,14,0,0,0,0,13,0,0,0,0,14,0,0,1
221218 Total,52,0,1,3,9,37,1,15,6,0,23,0,4,0
221220 Total,34,0,1,5,4,23,1,6,1,0,27,0,0,1
221235 Total,12,0,0,1,0,11,0,2,1,0,9,0,1,0
221250 Total,106,0,0,3,5,94,2,0,2,0,103,0,0,1
221255 Total,10,0,0,0,0,9,0,0,1,0,8,0,1,1
221260 Total,27,0,2,1,7,17,1,2,7,0,13,0,1,0
221262 Total,8,0,0,0,5,3,0,1,6,0,1,0,0,0
221265 Total,27,0,0,4,13,11,3,4,10,1,8,0,2,0
221275 Total,19,0,0,1,1,17,0,5,2,0,13,0,0,0
221285 Total,6,0,0,0,5,1,0,1,1,0,1,0,0,0
221287 Total,10,0,0,0,0,10,0,1,0,0,9,0,0,0
221290 Total,11,1,0,0,1,8,1,2,2,0,6,0,0,1
221305 Total,37,0,0,1,4,31,2,18,6,0,13,0,1,1
221315 Total,3,0,0,0,1,2,1,0,0,0,2,0,0,0
221320 Total,27,0,0,0,0,27,0,1,0,0,27,0,0,0
221323 Total,15,0,2,0,1,12,2,1,1,0,12,0,0,1
221325 Total,23,1,0,1,1,19,0,1,1,0,21,0,0,1
221330 Total,7,0,0,0,0,7,1,0,3,0,4,0,0,0
221333 Total,25,0,1,1,4,19,1,0,1,0,24,0,0,0
221335 Total,16,0,0,3,3,10,0,0,3,0,12,0,0,0
221349 Total,8,0,0,0,1,7,0,1,1,0,7,0,0,0
221350 Total,53,0,1,0,3,47,0,0,1,0,48,0,4,2
221355 Total,12,0,0,0,0,11,0,2,0,0,11,0,1,1
221360 Total,10,0,0,0,0,10,1,1,2,0,10,0,0,0
221365 Total,29,0,1,0,8,20,0,2,3,0,21,0,2,0
221370 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
221375 Total,25,0,0,0,1,24,0,0,1,0,24,0,0,0
221381 Total,3,0,0,0,0,3,0,2,1,0,0,0,0,0
221382 Total,1,0,0,0,0,1,1,0,0,0,1,0,0,0
221385 Total,11,0,0,0,1,10,0,0,3,0,9,0,0,0
221392 Total,4,0,0,0,0,4,1,0,1,0,3,0,0,0
221400 Total,35,0,1,5,9,24,0,1,5,1,27,0,2,0
221403 Total,17,0,0,0,0,16,0,1,1,0,14,0,0,1
221405 Total,11,0,0,1,0,10,0,1,0,0,10,0,0,0
221410 Total,16,0,0,3,2,10,0,1,1,0,13,0,1,1
221420 Total,13,0,0,0,1,12,0,1,0,0,12,0,0,0
221425 Total,23,0,1,1,1,21,0,2,0,0,19,0,1,0
221428 Total,7,0,0,0,0,7,0,2,1,0,3,0,1,0
221430 Total,9,0,0,1,0,6,0,1,4,0,3,0,0,2
221440 Total,28,0,0,2,0,26,0,3,7,0,22,0,0,0
221450 Total,33,0,0,1,0,32,1,1,0,0,30,0,0,0
221465 Total,14,0,0,0,2,12,0,1,4,0,8,0,1,0
221475 Total,46,0,0,0,3,42,1,4,4,0,39,0,1,1
221480 Total,5,0,1,0,0,4,0,3,0,0,3,0,0,0
221484 Total,2,0,0,0,0,2,0,0,0,0,1,0,1,0
221485 Total,33,0,0,2,0,30,0,4,0,0,30,0,1,1
221488 Total,6,0,0,0,0,6,0,1,1,0,4,0,0,0
221493 Total,22,0,1,3,5,14,2,1,8,0,9,0,2,0
221495 Total,24,0,0,4,1,20,0,0,3,0,20,0,1,0
221510 Total,20,0,0,0,1,19,0,0,0,0,20,0,0,0
221530 Total,4,0,0,0,1,3,0,0,0,0,2,0,1,0
221531 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
221541 Total,17,0,1,0,0,13,0,11,0,0,2,0,3,3
221545 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
221548 Total,35,0,1,2,4,28,0,12,6,1,19,0,0,1
221555 Total,51,0,0,3,7,41,0,9,3,0,35,0,5,1
221565 Total,20,0,0,0,0,19,1,1,2,0,15,0,3,1
221570 Total,35,2,0,0,1,32,1,1,2,0,33,0,0,0
221575 Total,26,0,0,1,0,24,1,1,0,0,24,0,1,1
221590 Total,1,0,1,0,0,0,0,0,0,0,1,0,0,0
221592 Total,108,0,1,5,8,95,2,12,3,0,92,0,1,0
221595 Total,15,0,0,2,1,12,0,1,0,1,14,0,0,0
221610 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
221611 Total,1,0,0,1,0,0,0,1,0,0,0,0,0,0
221615 Total,37,0,0,0,6,31,0,5,3,0,29,0,2,0
221625 Total,25,0,0,0,1,23,0,1,0,1,23,0,0,0
221630 Total,30,0,0,0,2,28,1,5,1,0,26,0,0,0
221635 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
221640 Total,17,0,0,0,0,17,0,1,0,0,15,0,1,0
221643 Total,13,0,0,1,1,11,1,1,0,0,11,0,0,0
221645 Total,24,0,0,0,0,22,0,1,0,0,23,0,1,2
221650 Total,34,0,0,0,0,34,1,6,3,0,26,0,0,0
221653 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
221660 Total,31,0,0,1,1,28,1,21,2,0,9,0,0,2
221662 Total,17,0,0,0,1,16,0,0,0,0,17,0,0,0
221670 Total,17,0,0,0,0,16,0,0,0,0,17,0,0,0
221675 Total,18,1,0,1,2,16,0,1,0,0,17,0,0,0
221683 Total,14,1,0,0,2,12,1,1,2,0,11,0,0,0
221695 Total,13,0,0,0,1,11,0,0,1,0,11,0,0,0
221705 Total,34,0,0,2,1,32,0,2,0,2,32,0,0,0
221710 Total,36,1,1,0,0,33,1,3,4,1,34,0,1,1
221715 Total,9,0,0,1,1,7,0,0,0,0,7,0,0,0
221720 Total,60,0,0,3,0,56,4,5,3,0,53,0,0,1
221721 Total,11,0,0,0,0,10,1,0,0,0,10,0,0,1
221723 Total,17,0,0,1,0,16,0,2,1,0,14,0,0,0
221725 Total,30,0,0,1,1,27,0,1,3,0,26,0,1,1
221741 Total,16,0,0,0,0,16,0,0,0,0,16,0,0,0
221760 Total,17,0,1,0,0,13,1,7,4,0,6,0,0,2
221765 Total,99,0,2,6,6,84,2,3,14,1,83,0,1,0
221770 Total,4,0,0,0,2,2,0,1,0,0,2,0,0,0
221775 Total,76,0,0,2,8,66,4,4,13,1,62,0,0,0
221784 Total,22,1,0,0,0,21,0,1,0,0,22,0,0,0
221785 Total,26,0,0,0,0,26,1,2,3,0,23,0,0,0
221786 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
221787 Total,2,0,0,0,0,1,0,0,0,0,1,0,1,1
221788 Total,5,0,0,0,0,5,0,1,0,0,4,0,0,0
221795 Total,5,0,0,0,0,5,0,0,2,0,3,0,0,0
221800 Total,34,0,0,0,1,33,0,9,1,0,24,0,1,0
221810 Total,4,0,0,0,0,4,0,3,1,0,0,0,0,0
221815 Total,9,1,1,1,3,7,0,0,7,0,0,0,1,0
221818 Total,10,0,0,0,1,9,0,0,0,0,10,0,0,0
221820 Total,33,0,0,0,4,26,0,1,0,0,28,0,3,3
221832 Total,45,0,2,3,14,26,2,3,8,2,25,0,0,0
221835 Total,12,0,0,0,0,12,0,1,1,0,10,0,0,0
221839 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
221840 Total,10,0,0,0,0,7,0,0,0,0,7,0,3,3
221842 Total,7,0,0,0,0,7,0,1,0,0,6,0,0,0
221868 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
221869 Total,13,0,0,0,7,5,0,0,1,1,8,0,1,0
221877 Total,15,0,1,0,1,12,0,1,3,0,12,0,0,0
221880 Total,18,0,0,0,1,17,0,0,0,0,18,0,0,0
221885 Total,14,0,0,0,3,10,0,2,0,0,11,0,0,1
221890 Total,20,0,0,0,0,20,1,0,2,0,18,0,0,0
221891 Total,20,1,2,1,1,19,2,3,2,1,17,0,0,0
221892 Total,9,0,0,0,0,9,0,0,0,0,9,0,0,0
221895 Total,23,0,0,1,0,22,1,5,3,0,16,0,0,0
221900 Total,9,0,1,0,2,6,0,2,1,0,4,0,1,0
221910 Total,21,0,0,0,1,19,2,1,3,0,19,0,0,0
221920 Total,31,0,1,0,1,29,0,0,2,0,30,0,0,0
221930 Total,49,0,0,0,3,45,1,13,2,1,34,0,1,1
221935 Total,20,0,0,0,0,19,0,1,0,0,20,0,0,1
221947 Total,7,0,1,2,2,4,1,1,3,0,1,0,0,0
221948 Total,24,0,0,1,8,14,0,5,2,0,13,0,2,1
221958 Total,12,0,0,0,2,10,1,0,0,0,12,0,0,0
221965 Total,5,0,0,0,0,5,0,2,1,0,2,0,0,0
221972 Total,6,0,0,1,1,4,0,0,3,0,2,0,0,0
221980 Total,4,1,0,3,0,1,1,0,0,0,2,0,0,0
221995 Total,5,0,0,0,0,5,0,0,0,0,4,0,0,0
222000 Total,54,0,1,1,1,51,0,1,2,0,53,0,0,0
222001 Total,35,0,0,1,2,32,0,1,12,0,23,0,1,0
222005 Total,68,1,0,3,1,63,1,5,2,1,63,0,1,0
222010 Total,8,0,0,0,1,7,0,1,0,0,7,0,0,0
222013 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
222015 Total,4,0,0,0,1,3,0,0,2,0,2,0,0,0
222019 Total,28,0,0,0,0,28,0,0,2,0,28,0,0,0
222020 Total,44,0,0,3,0,36,1,1,0,1,38,0,3,1
222021 Total,26,0,0,2,3,20,0,1,2,0,17,0,3,2
222023 Total,5,0,0,0,0,5,0,0,0,0,5,0,0,0
222026 Total,1,0,1,0,0,0,0,0,0,0,1,0,0,0
222029 Total,29,1,0,15,2,12,2,1,12,1,14,0,0,0
222030 Total,135,1,5,38,13,77,10,20,47,1,39,0,1,2
222034 Total,36,1,1,15,4,13,1,1,11,1,10,0,1,1
222035 Total,4,0,0,3,0,1,0,1,1,0,0,0,0,0
222043 Total,10,0,1,2,2,5,0,0,5,1,1,0,1,1
222045 Total,37,0,0,0,0,36,2,17,1,0,17,0,1,1
222051 Total,17,0,1,1,0,15,1,1,2,0,12,0,0,0
222053 Total,22,1,0,9,2,9,0,2,8,1,4,0,0,0
222055 Total,93,2,3,58,10,21,8,2,22,7,21,0,2,3
222056 Total,61,0,0,18,4,39,5,5,23,5,29,0,2,2
222058 Total,7,0,0,4,1,2,0,0,4,1,2,0,0,0
222059 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
222067 Total,6,0,1,1,3,1,0,0,1,0,4,0,0,0
222068 Total,1,0,0,0,1,0,0,0,0,0,0,0,1,0
222070 Total,20,0,0,1,0,18,0,0,1,0,19,0,0,1
222075 Total,14,0,0,2,0,10,0,2,4,1,5,0,1,1
222085 Total,49,0,0,3,0,45,1,1,1,0,48,0,1,1
222088 Total,25,0,0,0,0,24,0,2,1,0,23,0,1,1
222090 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
222095 Total,18,0,0,0,0,17,0,0,0,0,17,0,1,1
222100 Total,18,0,0,0,0,18,0,3,0,0,16,0,0,0
222105 Total,17,0,0,0,1,16,1,0,0,0,17,0,0,0
222120 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
222123 Total,36,0,1,1,0,31,1,1,8,0,24,0,1,2
222125 Total,20,0,0,1,2,17,1,1,0,0,16,0,0,0
222130 Total,23,0,0,2,1,20,0,2,1,0,21,0,0,0
222135 Total,20,0,0,0,0,19,1,1,0,0,20,0,0,0
222137 Total,15,0,0,0,0,15,0,0,3,0,15,0,0,0
222145 Total,21,0,0,2,2,17,0,0,0,0,18,0,0,1
222147 Total,17,0,0,1,0,15,0,0,1,0,16,0,0,0
222150 Total,3,0,0,0,0,3,0,1,0,0,2,0,0,0
222152 Total,15,0,0,0,0,14,0,0,0,0,14,0,1,1
222153 Total,18,0,1,0,0,15,0,1,2,0,14,0,1,2
222154 Total,49,0,0,0,2,47,0,2,0,0,46,0,0,0
222155 Total,13,0,0,0,1,12,0,0,0,0,13,0,0,0
222170 Total,22,0,0,0,3,19,0,3,1,1,17,0,1,0
222171 Total,22,0,0,3,8,13,1,1,0,0,14,0,2,0
222172 Total,10,0,0,0,0,9,1,2,0,0,10,0,0,1
222175 Total,19,0,0,0,1,17,0,1,1,0,17,0,0,1
222190 Total,6,0,0,0,0,5,0,2,1,0,2,0,1,1
222197 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
222212 Total,31,0,0,0,5,25,2,3,5,0,20,1,0,0
222215 Total,31,0,0,1,2,28,1,1,0,0,30,0,0,0
222220 Total,8,0,1,1,1,5,0,1,1,0,7,0,0,0
222225 Total,14,0,0,0,0,14,1,0,0,0,14,0,0,0
222250 Total,14,0,0,0,1,12,0,0,0,0,12,0,1,1
222255 Total,15,0,0,0,0,15,0,7,0,0,9,0,0,0
222260 Total,9,0,0,0,0,9,0,0,1,0,8,0,0,0
222275 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
222285 Total,26,0,0,1,1,23,0,6,4,0,15,0,2,1
222297 Total,31,0,1,0,1,29,1,8,3,0,19,0,2,0
222299 Total,2,0,0,0,0,2,0,1,0,0,1,0,0,0
222300 Total,21,0,0,0,0,21,0,11,0,0,11,0,0,0
222307 Total,5,0,0,0,0,4,0,0,0,0,4,0,1,1
222320 Total,8,0,0,0,0,8,0,0,0,0,8,0,0,0
222325 Total,8,0,0,1,0,7,0,1,0,0,5,0,0,0
222328 Total,157,0,2,10,5,137,5,9,8,0,137,0,1,1
222329 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
222330 Total,7,0,0,3,0,3,0,1,0,3,2,0,1,1
222333 Total,10,0,0,0,0,8,0,0,0,0,10,0,0,0
222335 Total,32,0,0,0,1,30,0,6,1,0,24,0,1,0
222340 Total,12,0,0,0,0,12,0,0,1,0,11,0,0,0
222342 Total,13,0,0,0,1,12,0,0,0,0,13,0,0,0
222344 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
222350 Total,7,0,0,0,1,6,0,2,2,0,3,0,0,0
222355 Total,8,0,0,0,1,7,0,0,2,0,6,0,0,0
222360 Total,18,0,0,0,0,18,0,2,2,0,15,0,0,0
222363 Total,17,1,0,0,0,16,0,2,2,0,13,0,0,0
222370 Total,129,0,2,17,10,102,2,12,10,3,95,0,2,1
222375 Total,30,0,0,0,0,29,0,0,2,0,27,0,1,1
222376 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
222378 Total,15,0,0,0,1,14,0,0,3,0,11,0,1,0
222381 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
222385 Total,8,0,0,0,0,8,0,0,0,0,8,0,0,0
222392 Total,5,0,0,0,0,5,0,2,0,0,3,0,0,0
222395 Total,24,0,0,0,3,21,1,0,0,0,23,0,0,0
222398 Total,142,0,0,7,2,127,3,8,8,1,124,0,4,6
222400 Total,49,0,0,0,3,46,0,18,2,0,29,0,0,0
222410 Total,3,0,1,0,0,2,0,0,0,0,2,0,0,0
222415 Total,51,0,1,0,2,47,0,3,0,0,48,0,1,1
222420 Total,27,0,1,1,2,19,0,3,0,0,23,0,3,3
222425 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
222428 Total,7,0,0,0,1,6,1,1,0,0,6,0,0,0
222440 Total,26,0,0,0,3,22,1,3,0,0,17,0,4,1
222445 Total,23,0,1,0,3,17,1,0,0,0,22,0,0,1
222457 Total,34,0,0,0,1,32,0,3,0,0,31,0,1,1
222458 Total,5,0,1,1,0,2,0,2,0,0,2,0,1,0
222460 Total,6,0,0,0,0,6,0,0,0,0,6,0,0,0
222462 Total,11,0,0,2,0,9,0,2,3,0,6,0,1,0
222480 Total,5,0,0,0,0,5,0,0,0,0,5,0,0,0
222482 Total,25,1,0,2,8,13,1,1,6,1,15,0,0,1
222492 Total,37,0,0,1,4,27,1,2,7,0,26,0,0,4
222500 Total,12,0,0,1,1,9,1,5,2,0,4,0,1,1
222504 Total,14,0,0,1,1,12,1,6,0,0,7,0,0,0
222505 Total,23,0,0,4,6,12,0,4,9,0,5,0,0,0
222515 Total,17,0,0,0,1,15,0,2,0,0,15,0,1,1
222519 Total,1,0,0,0,0,1,0,1,0,0,1,0,0,0
222520 Total,1,0,0,0,0,0,0,0,0,0,0,0,1,1
222525 Total,6,0,0,0,0,5,0,1,0,0,4,0,1,1
222534 Total,4,0,1,0,1,2,0,1,1,0,1,0,1,0
222535 Total,27,0,0,3,2,20,1,7,9,0,9,0,1,2
222545 Total,9,0,0,0,1,8,0,4,1,0,4,0,0,0
222550 Total,27,0,0,3,4,19,0,1,8,1,16,0,1,0
222562 Total,42,0,0,0,0,41,1,2,1,0,39,0,0,1
230013 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
232835 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
252825 Total,1,0,0,0,0,1,0,1,0,0,1,0,0,0
263300 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
290145 Total,1,0,1,0,0,0,0,0,0,0,0,0,0,0
300002 Total,7,0,1,0,0,4,0,0,2,0,4,0,0,0
300012 Total,95,0,0,0,2,90,1,4,0,0,89,0,0,3
300015 Total,1,0,0,0,0,1,0,0,0,0,0,0,1,0
300041 Total,6,0,0,1,1,3,1,2,1,0,4,0,0,0
300044 Total,202,1,0,5,3,185,2,17,4,1,181,0,2,5
300059 Total,93,0,1,0,2,88,1,3,1,0,87,0,0,1
300065 Total,1,0,0,0,0,0,0,0,0,0,0,0,1,1
300091 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
300104 Total,11,0,0,0,0,10,1,3,0,0,7,0,1,1
300105 Total,46,0,1,2,2,37,2,8,0,0,34,0,0,4
300110 Total,66,1,3,2,7,53,0,10,15,0,39,0,2,1
300113 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
300115 Total,170,0,1,0,2,159,2,17,10,0,144,0,0,2
300118 Total,2,0,0,0,0,2,0,1,0,0,1,0,0,0
300120 Total,32,0,0,0,0,31,1,0,0,0,31,0,0,0
300125 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
300130 Total,265,1,1,0,10,236,4,12,5,1,238,0,2,13
300134 Total,6,0,0,0,0,5,0,1,0,0,5,0,0,1
300135 Total,133,2,0,1,3,119,3,11,8,1,114,0,1,6
300137 Total,6,0,0,0,0,5,0,0,0,0,6,0,0,0
300138 Total,13,0,0,0,0,8,2,0,0,0,10,0,0,4
300143 Total,72,0,1,1,2,67,0,13,0,0,58,0,3,0
300150 Total,102,0,0,1,1,98,1,2,0,0,98,0,0,1
300175 Total,37,0,0,1,1,31,1,1,0,0,33,0,0,3
300180 Total,220,2,0,0,5,195,1,10,1,0,199,0,5,9
300182 Total,4,0,0,0,0,3,0,0,0,0,4,0,0,0
300185 Total,100,1,1,1,8,86,2,18,19,2,65,0,3,2
300188 Total,21,0,0,0,0,14,1,1,0,0,13,0,2,6
300210 Total,135,0,0,1,4,125,2,3,5,0,128,0,0,0
300220 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
300245 Total,127,0,0,2,3,112,4,4,3,1,111,0,0,6
300275 Total,120,1,0,1,2,112,3,9,0,0,107,0,1,4
300280 Total,145,0,1,3,7,124,3,9,1,0,121,0,0,9
300300 Total,80,1,1,1,2,72,4,1,1,0,75,0,0,2
